Rank,Product_ID,Product_Name,Source_Group,Dependency_Index,Tourism_Water_m3
1,120,Product 120,Services,7.626,0
2,71,Product 71,Petroleum,5.2047,898293122
3,127,Product 127,Services,4.9906,0
4,118,Product 118,Services,4.7012,0
5,113,Product 113,Manufacturing,4.6091,0
6,112,Product 112,Manufacturing,3.972,0
7,32,Product 32,Mining,3.8865,0
8,126,Product 126,Services,3.8735,0
9,132,Product 132,Services,3.8067,0
10,74,Product 74,Petroleum,3.2194,51369
11,44,Product 44,Manufacturing,3.1431,140256890
12,61,Product 61,Manufacturing,2.9493,35864976
13,134,Product 134,Services,2.7179,0
14,122,Product 122,Services,2.1108,0
15,119,Product 119,Services,1.8526,0
16,140,Product 140,Services,1.8289,0
17,114,Product 114,Electricity,1.5791,235547306
18,135,Product 135,Services,1.524,0
19,46,Product 46,Manufacturing,1.3206,5074641
20,75,Product 75,Petroleum,1.2839,377492
21,84,Product 84,Manufacturing,1.153,0
22,137,Product 137,Services,1.1254,0
23,73,Product 73,Petroleum,1.111,17728
24,116,Product 116,Electricity,1.0663,0
25,30,Product 30,Mining,1.0405,0
26,85,Product 85,Manufacturing,0.895,0
27,66,Product 66,Manufacturing,0.8346,70910928
28,56,Product 56,Manufacturing,0.8342,3161316
29,70,Product 70,Manufacturing,0.7924,84111713
30,131,Product 131,Services,0.792,0
31,87,Product 87,Manufacturing,0.7877,0
32,51,Product 51,Manufacturing,0.778,553987
33,106,Product 106,Manufacturing,0.7735,0
34,63,Product 63,Manufacturing,0.7322,1308053
35,52,Product 52,Manufacturing,0.7275,518041
36,136,Product 136,Services,0.6794,0
37,121,Product 121,Services,0.621,0
38,9,Product 9,Agriculture,0.6183,369389363
39,20,Product 20,Agriculture,0.6043,250593820
40,80,Product 80,Petroleum,0.5799,9254
41,21,Product 21,Agriculture,0.5296,0
42,88,Product 88,Manufacturing,0.5187,0
43,40,Product 40,Mining,0.5116,0
44,8,Product 8,Agriculture,0.4988,298027022
45,124,Product 124,Services,0.4787,0
46,128,Product 128,Services,0.4684,0
47,81,Product 81,Manufacturing,0.4556,7269
48,89,Product 89,Manufacturing,0.4481,0
49,78,Product 78,Petroleum,0.4462,7119
50,133,Product 133,Services,0.4371,0
51,86,Product 86,Manufacturing,0.4119,0
52,76,Product 76,Petroleum,0.4102,6545
53,67,Product 67,Manufacturing,0.4094,12901782
54,83,Product 83,Manufacturing,0.4083,0
55,82,Product 82,Manufacturing,0.3675,0
56,77,Product 77,Petroleum,0.3599,5742
57,33,Product 33,Mining,0.3589,0
58,138,Product 138,Services,0.3569,0
59,65,Product 65,Manufacturing,0.3518,2943872
60,139,Product 139,Services,0.3453,0
61,10,Product 10,Agriculture,0.3449,2796942
62,93,Product 93,Manufacturing,0.3414,0
63,47,Product 47,Manufacturing,0.2988,2278868
64,79,Product 79,Petroleum,0.2942,4695
65,100,Product 100,Manufacturing,0.2923,0
66,101,Product 101,Manufacturing,0.284,0
67,105,Product 105,Manufacturing,0.279,0
68,24,Product 24,Agriculture,0.2773,49288647
69,96,Product 96,Manufacturing,0.2697,0
70,25,Product 25,Agriculture,0.2671,0
71,57,Product 57,Manufacturing,0.2652,1004894
72,62,Product 62,Manufacturing,0.2604,986741
73,69,Product 69,Manufacturing,0.2453,26034552
74,115,Product 115,Electricity,0.2453,0
75,130,Product 130,Services,0.2353,0
76,110,Product 110,Manufacturing,0.235,0
77,28,Product 28,Agriculture,0.2087,0
78,1,Product 1,Agriculture,0.2041,1720114958
79,68,Product 68,Manufacturing,0.1927,1612850
80,98,Product 98,Manufacturing,0.1841,0
81,125,Product 125,Services,0.177,0
82,107,Product 107,Manufacturing,0.1745,0
83,37,Product 37,Mining,0.1595,0
84,95,Product 95,Manufacturing,0.155,0
85,97,Product 97,Manufacturing,0.1407,0
86,29,Product 29,Agriculture,0.1361,0
87,7,Product 7,Agriculture,0.1213,72458567
88,38,Product 38,Mining,0.1143,0
89,2,Product 2,Agriculture,0.113,615070926
90,19,Product 19,Agriculture,0.1117,92449999
91,55,Product 55,Manufacturing,0.1088,18546
92,23,Product 23,Agriculture,0.1087,296357
93,12,Product 12,Agriculture,0.0881,222031998
94,18,Product 18,Agriculture,0.0878,72689713
95,99,Product 99,Manufacturing,0.0864,0
96,48,Product 48,Manufacturing,0.0844,73760
97,102,Product 102,Manufacturing,0.0835,0
98,31,Product 31,Mining,0.0805,0
99,123,Product 123,Services,0.0774,0
100,49,Product 49,Manufacturing,0.0757,577102
101,94,Product 94,Manufacturing,0.0736,0
102,43,Product 43,Manufacturing,0.0716,4273625
103,108,Product 108,Manufacturing,0.0702,0
104,4,Product 4,Agriculture,0.0645,10263011
105,72,Product 72,Petroleum,0.0611,10549914
106,64,Product 64,Manufacturing,0.0603,0
107,60,Product 60,Manufacturing,0.057,216146
108,27,Product 27,Agriculture,0.0529,0
109,58,Product 58,Manufacturing,0.0522,197718
110,36,Product 36,Mining,0.0473,0
111,59,Product 59,Manufacturing,0.0425,160980
112,13,Product 13,Agriculture,0.0421,34818313
113,34,Product 34,Mining,0.0415,0
114,3,Product 3,Agriculture,0.04,6370557
115,91,Product 91,Manufacturing,0.036,0
116,92,Product 92,Manufacturing,0.0336,0
117,111,Product 111,Manufacturing,0.0331,0
118,50,Product 50,Manufacturing,0.0321,0
119,11,Product 11,Agriculture,0.0311,252063
120,17,Product 17,Agriculture,0.0287,11918393
121,90,Product 90,Manufacturing,0.0285,0
122,6,Product 6,Agriculture,0.0279,4439624
123,35,Product 35,Mining,0.0223,0
124,103,Product 103,Manufacturing,0.0221,0
125,53,Product 53,Manufacturing,0.0193,0
126,15,Product 15,Agriculture,0.0161,6673513
127,45,Product 45,Manufacturing,0.0122,365869
128,42,Product 42,Manufacturing,0.011,15774
129,5,Product 5,Agriculture,0.009,1429789
130,104,Product 104,Manufacturing,0.008,0
131,22,Product 22,Agriculture,0.0057,0
132,26,Product 26,Agriculture,0.0039,0
133,16,Product 16,Agriculture,0.0036,1473667
134,14,Product 14,Agriculture,0.0035,1440096
135,109,Product 109,Manufacturing,0.003,0
136,54,Product 54,Manufacturing,0.0021,0
137,41,Product 41,Manufacturing,0.0014,11003
138,39,Product 39,Mining,0.0012,0
139,129,Product 129,Services,0.0,0
140,117,Product 117,Services,0.0,0
