"विवरण 4.2: कार्यकलापों के वर्गीकरण के अनुसार सामान्य सरकार का व्यय* (प्रचलित भावों पर), 2017-18",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
1.2,आर्थिक सहायता,2170.89,0,7.81,450145.776,176.88,126563.45,75147.96,85062.42,427.16,45891.406,116876.5,0,2340.13,554.54,0,554.54,2582.03,1749.01,138.61,1610.4,26329.34,485879.526,subsidy,1.2
1.3,पूंजीतर हस्‍तांतरण,227999.51,1166.14,3708.72,214752.65,13738.68,92322.22,35901.28,21983.33,26684.27,10933.73,13189.14,827.28,156660.15,68087.7,9021.84,59065.86,9406.64,318736.28,10728.41,308007.87,159166.95,1160512.02,Current Transfer ,1.3
1.3.1,स्थानीय निकायों को पूंजीतर हस्‍तांतरण,51211.78,0,156.88,20811.54,1852.29,3422.31,1063.07,3306.48,3792.97,7277.81,96.61,230.68,106891.91,8703.37,2266.94,6436.43,792.8,84477.97,121.38,84356.59,22621.77,295898.7,current transfers to local bodies,1.3.1
1.3.2,अन्य पूंजीतर हस्‍तांतरण,176787.732,1166.14,3551.84,193941.11,11886.39,88899.91,34838.21,18676.85,22891.3,3655.92,13092.53,596.6,49768.24,59384.329,6754.9,52629.429,8613.84,234258.314,10607.03,223651.284,136545.18,864613.325,other current transfers,1.3.2
2,पूंजीगत व्यय ,71945.68,97017.17,20450.28,312853.3,39359.38,28009.19,43054.07,29353.4,29972.94,134252.28,8852.04,971.53,192686.15,21803,2145.77,19657.23,5845.66,63627.79,1962.54,61665.25,25052.99,812253.55,Capital Expenditure,2
2.1,सकल पूंजी निर्माण ,42743.03,96953.73,17488.08,184187.87,1090.61,12350.88,14548.87,5531.98,25007.56,117172.54,8485.43,35.89,53785.17,14322.32,1715.3,12607.02,4156.06,41224.19,1340.07,39884.12,14966.26,469862.6,GCF ,2.1
2.1.1,सकल स्‍थायी पूंजी निर्माण,42085.31,95565.72,17488.14,178356.13,1090.61,12301.58,14540.51,5531.98,24919.46,114243.29,5728.7,35.89,53785.13,14054.325,1715.3,12339.025,4156.04,41064.76,1340.07,39724.69,14828.73,461420.174,GFCF,2.1.1
2.1.2,स्‍टॉक में अंतर,657.72,1388.01,-0.06,5831.74,0,49.3,8.36,0,88.1,2929.25,2756.73,0,0.04,268,0,268,0.02,159.43,0,159.43,137.53,8442.43,CIS,2.1.2
2.2,पूंजी हस्तांतरण,29202.65,63.44,2962.2,128665.43,38268.77,15658.31,28505.2,23821.42,4965.38,17079.74,366.61,935.64,138900.98,7480.68,430.47,7050.21,1689.6,22403.6,622.47,21781.13,10086.73,342390.95,Capital Transfer,2.2
2.2.1,स्थानीय निकायों को पूंजी हस्‍तांतरण,11290.95,0,0,40344.03,37315.26,1099.01,35.5,15.6,1537.04,340.69,0.93,0,38355.24,69.93,0,69.93,4.83,285.72,2.35,283.37,2001.08,92351.78,capital transfers to local bodies,2.2.1
2.2.2,अन्य पूंजी हस्‍तांतरण,17911.7,63.44,2962.2,88321.4,953.51,14559.3,28469.7,23805.82,3428.34,16739.05,365.68,935.64,100545.74,7410.75,430.47,6980.28,1684.77,22117.88,620.12,21497.76,8085.65,250039.17,other capital transfers,2.2.2
3.1,स्टॉक में निवल निवेश,-2830.62,0,0,181130.89,91185.91,16587.57,2735.14,40820.19,22.2,28023.75,1756.13,0,4458,3.13,3.13,0,530.39,277,0,277,2083.34,185652.13,Net Investment in Stock,3.1
3.2,ऋण और अग्रिम,25026.79,1.85,8.69,75266.37,36.35,662.28,4499.19,7515.45,3041.48,4583.73,54927.89,175.48,16016.61,277.11,0,277.11,11.45,499.51,0.1,499.41,1126.98,118410.84,Loans and Advances ,3.2
3.2.1,स्थानीय निकायों को ऋण व अग्रिम,202.92,0,0,4580.12,0,0,0,0,2430.12,2150,0,175.48,-222.13,0,0,0,0,0,0,0,0,4736.39,loans & advances to local bodies,3.2.1
3.2.2,घरेलू क्षेत्र को ऋण और अग्रिम,24823.87,1.85,8.69,70686.25,36.35,662.28,4499.19,7515.45,611.36,2433.73,54927.89,0,16238.74,277.11,0,277.11,11.45,499.51,0.1,499.41,1126.98,113674.45,loans & advances to domestic sector,3.2.2
4,कुल व्यय,485724.55,421910.22,257110.28,1330994.88,155806.57,306176.02,166968.07,185585.01,77701.25,237837.42,200920.53,2389.87,405368.72,212059.38,26754.28,185305.1,28350.26,757270.95,30359.47,726911.48,269477.6,4170656.71,Total expenditure,4
5,अंतिम उपभोग व्यय,161412.3,323725.06,232934.78,96845.88,11309.37,42031.31,5630.43,850.22,17553.2,14152.52,5318.83,415.58,33207.68,121333.9,15583.54,105750.36,9974.09,372381.36,17529.81,354851.55,55718,1407948.63,Final Consumption Expenditure,5
5.1,व्यक्तिगत उपभोग व्यय,0,0,0,0,0,0,0,,,0,0,0,0,105750.36,0,105750.36,9974.09,354851.55,0,354851.55,50164.033,520740.033,Individual Consumption Expenditure,5.1
5.2,सामूहिक उपभोग व्यय,161412.3,323725.06,232934.78,96845.88,11309.37,42031.31,5630.43,850.22,17553.2,14152.52,5318.83,415.58,33207.68,15583.54,15583.54,0,0,17529.81,17529.81,0,5553.967,887208.597,Collective consumption expenditure,5.2
* व्यय में स्थानीय प्राधिकरणों का व्यय एवं स्थायी पूंजी अवक्षय सम्मिलित नहीं है।,,,,,,,,,,,,,,*Expenditure excludes expenditure of local bodies and CFC.,,,,,,,,,,,
