क्र. सं. ,आर्थिक क्रियाकलाप,2011-12,,,,,,,2012-13,,,,,,,2013-14,,,,,,,2014-15,,,,,,,2015-16,,,,,,,2016-17,,,,,,,2017-18,,,,,,,2018-19,,,,,,,2019-20,,,,,,,2020-21,,,,,,,Economic Activity,Sl.no.
,,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,स. उ.,म. उ. ,स. मू. व.,उ. क.-उ. आ.स.,स्था. पू. अ.,क.पा.,प्र.अ./मि.आ.,,
,,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,Gross output,Intermediate consumption,Gross value Added,Production taxes less production subsidies,Consumption of fixed capital,Compensation of employee,Operating Surplus/Mixed Income,,
6.1,व्‍यापार और मरम्‍मत सेवाएं,542684,98060,444624,3300,18189,28867,394268,647778,115576,532202,12105,25380,34117,460600,733267,129365,603902,5529,28936,38510,530927,813391,144285,669106,7992,33771,42635,584708,883046,155846,727200,10660,37508,46020,633012,996986.432,175025.434,821960.997,9181.451,45349.991,51792.676,715636.878,1144515.61493338,199815.198654018,944700.416279363,13472.9092059222,57543.5705256799,59606.428941847,814077.507605914,1296498.23236706,226780.774988126,1069717.45737893,13527.296952951,70038.078292783,67342.0424503318,918810.039682867,1405892.49724173,246292.760136249,1159599.73710548,12257.8481259189,78788.4781033741,71646.9198507826,996906.491025406,1132987.18795161,209123.614971548,923863.572980062,6315.14823935102,86964.9069993168,58076.0132504581,772507.504490937,Trade & Repair Services,6.1
6.2,होटल और जलपान गृह,159108,108852,50256,594,1867,10332,37463,177198,121336,55862,639,2215,11506,41502,189490,130471,59019,65,2282,12305,44367,203946,140611,63336,836,2644,13243,46612,222070,152939,69131,1666,3115,14420,49929,244013.18,168151.678,75861.501,991.508,3680.663,15845.012,55344.319,269973.080728986,185800.411784743,84172.6689442425,1262.63648928335,4427.85470110893,17530.7195278562,60951.458225994,306516.517467184,210979.530910633,95536.9865565517,2100.16612935289,5612.26681092937,19903.6699654016,67920.8836508679,342160.767091419,235669.148298172,106491.618793247,2799.79775626291,6833.42293070164,22218.2316293129,74640.1664769692,154916.678810727,108119.735073366,46796.943737361,1120.9527310806,7535.58548153981,10059.5245980992,28080.8809266415,Hotels & restaurants,6.2
7,"परिवहन, भंडारण, संचार एवं प्रसारण से संबंधित सेवाएं",457325,247880,209444,1544,30538,22016,155347,525948,285007,240941,1616,36861,25290,177173,602632,326954,275678,1260,37328,28921,208169,662587,359768,302819,1429,40072,31795,229523,716465,389617,326848,1689,43007,34423,247729,785049.7929999998,426619.127,358430.666,1207.7040000000002,50255.403999999995,37795.617,269171.938,856092.4488631996,466084.541055456,390007.9078077436,1755.1005674730454,62084.20087681171,41280.05416478916,284888.55219866906,956444.4011691064,521570.55067121156,434873.850497895,2328.967274619349,76314.30788379659,46213.35101872526,310017.22432075295,1014941.8513141683,553344.7897786245,461597.06153554475,2286.281093708748,87537.24125571315,49052.10018871811,322721.43899740494,817828.5404906645,448973.9326068353,368854.6078838293,1353.1166363733719,90820.27633079309,39587.34493416849,237093.86998249489,"Transport, storage, communication & services related to broadcasting",7
7.1,रेलवे,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Railways,7.1
7.2,सड़क परिवहन,426501,229249,197251,858,25046,20024,151323,491759,264327,227433,968,31047,23087,172331,561369,301647,259722,711,31279,26355,201377,613874,329533,284341,732,33539,28820,221250,660887,355074,305813,833,36510,31028,237442,721445.092,387212.801,334232.291,562.044,43379.943,33870.662,256419.642,783569.192898806,421054.481432885,362514.711465921,801.491417926571,54363.4656885177,36787.2860515872,270562.468307889,873213.992712684,469833.664040503,403380.328672181,1041.18891604468,67422.9302814005,40995.962099187,293920.247375548,925269.175432938,497605.008190398,427664.167242541,723.757683624232,77578.6817493461,43439.8673912178,305921.860418353,732235.577620185,395038.448283225,337197.12933696,835.322834165545,79678.9901670001,34377.2571652669,222305.559170528,Road transport,7.2
7.3,जल परिवहन,1720,687,1033,0,36,94,902,1879,750,1128,0,43,103,982,2060,822,1238,0,43,113,1082,2255,898,1357,0,47,124,1186,2212,883,1330,0,51,121,1157,2380.446,948.129,1432.317,0.077,62.71,130.634,1238.896,2612.69824671312,1042.79353778975,1569.90470892337,0.106368993037859,82.4257169471311,143.379781831817,1343.99284115139,2889.15830300239,1155.74900058969,1733.4093024127,0.126466492596082,105.025852567873,158.551370286716,1469.70561306551,3024.91410058951,1209.0490457295,1815.86505486001,0.144131218432726,136.620352424515,166.001383568936,1513.09918764813,2905.3894113974,1167.6960294969,1737.6933819005,-0.013716041254266,281.482610739621,159.442101844979,1296.78238535715,Water transport,7.3
7.4,वायु परिवहन,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,,0,,,,,0,Air transport,7.4
7.5,परिवहन से संबंधित सेवाएं,3898,898,3000,88,222,548,2142,4494,1035,3459,105,286,632,2435,5129,1180,3949,77,328,721,2822,5609,1286,4323,80,366,789,3088,6036,1388,4648,91,387,849,3321,6588.815,1509.302,5079.513,61.325,433.173,926.552,3658.462,7156.47395291321,1646.91275195818,5509.56120095503,87.5149835719277,508.008740308447,1006.37914962842,3907.65832744623,7974.97490582375,1844.51596483025,6130.45894099351,113.632855427376,600.882751749933,1121.48084613147,4294.46248768473,8449.99861257365,1950.78156828729,6499.21704428636,78.9326849084505,644.275688221368,1188.28105489317,4587.72761626337,6692.60729916549,1564.0168553414,5128.5904438241,211.404977624973,728.012463873353,941.147901445148,3248.02510088062,Services incidental to transport,7.5
7.6,भंडारण,1113,339,774,196,212,148,218,1231,376,855,62,244,164,385,1339,412,927,51,273,178,425,1474,455,1020,141,328,196,355,1608,494,1115,228,378,214,295,1764.081,533.012,1231.069,116.383,427.452,234.388,452.845,1917.54093923286,578.588624304409,1338.95231492845,124.224794366599,486.275221632918,254.77816675122,473.674132177718,2109.29503315615,635.368294110922,1473.92673904523,154.514413733677,558.378546310018,280.255983426342,480.777795575192,2320.22453647177,698.469370013873,1621.75516645789,269.769356722963,630.267975602935,308.281581768976,413.436252363018,2311.96063228941,699.135157669842,1612.82547461957,445.742220656648,748.586517616345,307.183580513978,111.313155832599,Storage,7.6
7.7,संचार और प्रसारण से संबंधित सेवाएं,24093,16707,7386,401,5022,1202,761,26585,18519,8066,481,5241,1304,1040,32735,22893,9842,421,5405,1553,2463,39375,27596,11779,476,5793,1866,3644,45721,31778,13943,537,5681,2211,5514,52871.359,36415.883,16455.476,467.875,5952.126,2633.381,7402.093,60836.5428255344,41761.7647085187,19074.7781170157,741.76300261491,6644.02550940551,3088.2310149905,8600.75859000474,70256.9802144402,48101.2533711777,22155.7268432625,1019.50462292102,7627.09045176825,3657.10071969373,9852.03104887951,75877.5386315954,51881.4816041959,23996.0570273995,1213.67723723467,8547.39549011821,3949.66877726923,10285.3155227774,73683.0055276273,50504.6362811022,23178.3692465251,-139.33968003254,9383.20457156366,3802.31418509749,10132.1901698965,Communication & services related to broadcasting,7.7
8,वित्‍तीय सेवाएं,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial services,8
9,"स्‍थावर सम्‍पदा, आवास का स्वामित्व और व्‍यावसायिक सेवाएं",646603,45790,600813,36348,132524,4676,427265,751596,53361,698235,42562,157412,5647,492613,853236,58808,794428,35535,180108,6501,572284,943670,64294,879376,37730,192671,7671,641304,1003465,71809,931656,39956,194184,8959,688556,1085287.738,76013.627,1009274.111,31508.069,205796.298,10472.177,761497.567,1199866.65050824,87113.3590101635,1112753.29149808,44914.232460293,227462.720095141,12452.1779435716,827924.16099907,1322415.12222699,97973.083746662,1224442.03848033,54869.3651203312,253672.524752016,14335.6534344225,901564.495173557,1411941.48532559,106331.049693863,1305610.43563172,62878.7239198641,268636.932857293,16491.2637593164,957603.515095251,1440657.18057961,106163.830979786,1334493.34959982,66168.5630260014,292706.466803032,15782.4111582346,959835.908612556,"Real estate, ownership of dwelling and professional services",9
10,लोक प्रशासन और रक्षा,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public administration and defence,10
11,अन्‍य सेवाएं,162529,41484,121046,2577,6791,33308,78370,189686,47439,142246,3235,8947,38108,91957,221836,55408,166428,3375,11190,43572,108291,258812,64948,193864,4321,13760,49147,126636,302008,77842,224165,5123,15525,55361,148156,352868.337,92090.277,260778.06,4382.077,19070.254,62481.993,174843.735,412371.161996947,108111.117299155,304260.044697791,7222.209358038,24891.735787106,70527.438196314,201618.661356333,482357.259458677,127768.211846935,354589.047611742,8159.791486492,31305.779441836,79877.637425801,235245.839257613,564454.263136816,149528.973738153,414925.289398663,11114.841863632,38189.915542759,91180.433531685,274440.098460588,430862.477735266,117479.261628743,313383.216106524,3856.423895102,41852.248804674,76272.461793309,191402.081613439,Other services,11
,कुल,5974187,2285231,3688956,44841,326425,764974,2552716,6744758,2553343,4191415,60748,388006,855147,2887514,7603670,2854158,4749512,43187,435518,951838,3318969,8248590,3105423,5143167,31000,475048,1031681,3605438,8697599,3201996,5495604,34437,496938,1049229,3915001,9542816.399999999,3439209.096,6103607.304500001,29386.3208269,543983.6465599999,1149382.6176999998,4380854.7144,10606062.524560757,3773142.1552695353,6832920.368297225,32783.20505100965,618625.4361358476,1278510.718864378,4903001.00723598,11777789.288060013,4213076.049933567,7564713.238016447,35862.41648074645,708339.4251113611,1411238.3467236822,5409273.049801658,12674453.914724724,4503620.385224062,8170833.529598658,49233.62918038675,780408.0628828409,1516500.965526815,5824690.871917624,11945963.541508881,4091595.369330278,7854368.172278596,29501.589489908394,852251.4821753557,1433943.7497072692,5538671.350905067,Total,
